Student-Person.FirstName,Student-Person.LastName,Student-Person.MiddleName,Student-Person.Nickname,Student-School.Role,Student-Person.Email:Student-Login.Username,Application-Status,Student-School.Grade:Application-Grade,Parent-Person.FirstName,Parent-Person.LastName,Parent-Person.Email:Parent-Login.Username,Parent-Person.PhoneArray[0],Parent-Person.PhoneArray[1],Parent-Person.PhoneArray[2],Parent-Person.PhoneArray[3],Parent-Person.AddressArray[0].Street,Parent-Person.AddressArray[0].City,Parent-Person.AddressArray[0].Province,Parent-Person.AddressArray[0].PostalCode,Parent-Person.AddressArray[0].Country,Parent-Login.Groups[0]
Alecia,DeFord,,,,,Started,1,Joshua,DeFord,jdeford@gmail.com,555-676-9080,,,,,,,,,
,,,,,,,,Amber,DeFord,amber.deford@gmail.com,555-555-9098,,,,,,,,,
Jaylon,DeFord,,,,,Started,3,Joshua,DeFord,jdeford@gmail.com,,,,,,,,,,
,,,,,,,,Amber,DeFord,amber.deford@gmail.com,,,,,,,,,,
Harmony,Johnson,,,,,Submitted,7,Kourtney,Johnson,johnson1@quickmit.net,,,,,,,,,,
,,,,,,,,Quinn,Johnson,johnson2@quickmit.net,,,,,,,,,,
Nishka,Jones,,,,,Submitted,8,Gia,Jones,jones1@quickmit.net,,,,,,,,,,
,,,,,,,,Alberto,Jones,jones2@quickmit.net,,,,,,,,,,
Gibson,Williams,,,,,Accepted,2,Edwina,Williams,williams1@quickmit.net,,,,,,,,,,
,,,,,,,,Sean,Williams,williams2@quickmit.net,,,,,,,,,,
Melissa,Davis,,,,,Accepted,4,Harriet,Davis,davis1@quickmit.net,,,,,,,,,,
,,,,,,,,Kylar,Davis,davis2@quickmit.net,,,,,,,,,,
Huey,Miller,,,,,Accepted,4,Edlyn,Miller,miller1@quickmit.net,,,,,,,,,,
,,,,,,,,Thad,Miller,miller2@quickmit.net,,,,,,,,,,
Milton,Wilson,,,,,Accepted,9,Adrianna,Wilson,wilson1@quickmit.net,,,,,,,,,,
,,,,,,,,Grover,Wilson,wilson2@quickmit.net,,,,,,,,,,
Willow,Taylor,,,,,Enrolling,2,Teegan,Taylor,taylor1@quickmit.net,,,,,,,,,,
,,,,,,,,Rich,Taylor,taylor2@quickmit.net,,,,,,,,,,
Caterina,Clark,,,,,Enrolling,5,Talia,Clark,clark1@quickmit.net,,,,,,,,,,
,,,,,,,,Al,Clark,clark2@quickmit.net,,,,,,,,,,
Keri,Thompson,,,,,Enrolled,5,Patricia,Thompson,tompson1@quickmit.net,,,,,,,,,,
,,,,,,,,Benson,Thompson,tompson2@quickmit.net,,,,,,,,,,
Raheem,Martin,,,Student,,Admitted,5,Shana,Martin,martin1@quickmit.net,,,,,,,,,,
,,,,,,,,Thad,Martin,martin2@quickmit.net,,,,,,,,,,
Sadie,Hall,,,Student,,Admitted,8,Raina,Hall,hall1@quickmit.net,,,,,,,,,,
,,,,,,,,Sebastien,Hall,hall2@quickmit.net,,,,,,,,,,
Dane,Adams,,,Student,,Admitted,8,Audrina,Adams,adams1@quickmit.net,,,,,,,,,,
,,,,,,,,Kedric,Adams,adams2@quickmit.net,,,,,,,,,,
Lila,Walker,,,Student,,Admitted,2,Raquel,Walker,walker1@quickmit.net,,,,,,,,,,
,,,,,,,,Niko,Walker,walker2@quickmit.net,,,,,,,,,,
Carlotta,Pitts,,,Student,,Accepted,7,Nehemiah,Pitts,shininglightconsulting.net,,,,,,,,,,
Arnold,DeFord,,,Student,,Accepted,5,Joshua,DeFord,joshua@quickmit.net,,,,,,,,,,admin
Fredina,Pitts,,,Student,,Accepted,3,Nehemiah,Pitts,nehemiah@quickmit.net,,,,,,,,,,admin
